controlSystemRef,id,name,expId,treatmentplanId,currentstep,stepParams,potId,state,weatherStationPlantRef,controlPlantPotRef,tareWeight,seedlingBulkSoilWeight,soilDryWeight,soilWetWeight,soilVolume,reserveWaterInventory,plantNetWeight,soilType,active,wue,wueR2,stressStart,stressEnd,stressDegree,resilienceRate,resilienceRateR2,massGainRate,massGainRateR2,potName,potX,potY,#Group,#line,#Treatment,#TreatmentGroup,AbsWeight_Point 03/07/2024 09:12:18,AbsWeight_Point 23/11/2023 11:27:18,DeltaWeight_delta 23/11/2023 12:15:26,DeltaWeight_Object 03/07/2024 10:27:18,TotalAvailableWater,
13,2348,(11)_1,73,157,0,null,4929,0,null,null,327,0,5455.15,6303.43,3200,0,0,1,1,null,null,2024-07-04,2024-07-05,0.199,2.259,0.839,null,null,W02b,2,2,11.0,(11)_1,Control,Control6,6630.067633,0.0,0.0,17.435017,848.275804024,
13,2315,(11)_10,73,158,0,null,4912,0,null,null,342,0,5345.06,6176.21,3200,0,0,1,1,null,null,2024-07-04,2024-07-05,0.052,6.23,1.0,null,null,E05c,13,5,11.0,(11)_10,Drought,Drought6,6514.269898,0.0,0.0,21.304916,831.156206958,
13,2343,(11)_11,73,158,0,null,4889,0,null,null,342,0,5050.64,5836.02,3200,0,0,1,1,null,null,2024-07-05,2024-07-09,0.187,11.432,1.0,null,null,E01d,17,1,11.0,(11)_11,Drought,Drought6,6177.105553,0.0,0.0,64.042122,785.374802313,
13,2367,(11)_12,73,158,0,null,4897,0,null,null,342,0,4995.62,5772.44,3200,0,0,1,1,null,null,2024-07-04,2024-07-06,0.185,16.347,1.0,null,null,E02f,19,2,11.0,(11)_12,Drought,Drought6,6113.893552,0.0,0.0,60.937269,776.818486495,
13,2359,(11)_13,73,158,0,null,4901,0,null,null,342,0,5407.65,6248.54,3200,0,0,1,1,null,null,2024-07-04,2024-07-05,0.017,3.598,0.75,null,null,E03d,17,3,11.0,(11)_13,Drought,Drought6,6589.872835,0.0,0.0,39.869077,840.889353266,
13,2318,(11)_14,73,158,0,null,4914,0,null,null,342,0,5257.93,6075.53,3200,0,0,1,1,null,null,2024-07-04,2024-07-06,0.196,4.964,0.71,null,null,E05e,18,5,11.0,(11)_14,Drought,Drought6,6413.201984,0.0,0.0,25.620391,817.607627598,
13,2335,(11)_2,73,157,0,null,4940,0,null,null,327,0,5569.32,6435.34,3200,0,0,1,1,null,null,2024-07-05,2024-07-07,0.13,13.947,1.0,null,null,W04a,1,4,11.0,(11)_2,Control,Control6,6760.313691,0.0,0.0,12.302323,866.02859311,
13,2303,(11)_3,73,157,0,null,4948,0,null,null,327,0,5472.4,6323.36,3200,0,0,1,1,null,null,2024-07-04,2024-07-05,0.619,5.873,0.962,null,null,W05c,3,5,11.0,(11)_3,Control,Control6,6650.956154,0.0,0.0,7.379227,850.958952996,
13,2363,(11)_4,73,157,0,null,4939,0,null,null,327,0,5183.54,5989.58,3200,0,0,1,1,null,null,2024-07-04,2024-07-05,0.225,2.245,0.926,null,null,W03f,9,3,11.0,(11)_4,Control,Control6,6316.185020,0.0,0.0,24.162821,806.039912865,
13,2352,(11)_5,73,157,0,null,4933,0,null,null,327,0,5606.89,6478.76,3200,0,0,1,1,null,null,2024-07-06,2024-07-08,0.206,8.141,1.0,null,null,W02f,9,2,11.0,(11)_5,Control,Control6,6804.236102,0.0,0.0,21.083020,871.871009929,
13,2341,(11)_6,73,157,0,null,4937,0,null,null,327,0,5238.78,6053.41,3200,0,0,1,1,null,null,2024-07-04,2024-07-06,0.151,2.522,0.984,null,null,W03d,7,3,11.0,(11)_6,Control,Control6,6379.276161,0.0,0.0,22.809880,814.629998631,
13,2307,(11)_7,73,157,0,null,4950,0,null,null,327,0,5220.73,6032.55,3200,0,0,1,1,null,null,2024-07-04,2024-07-05,0.063,0.955,1.0,null,null,W05e,8,5,11.0,(11)_7,Control,Control6,6358.074178,0.0,0.0,22.539933,811.823429225,
13,2331,(11)_8,73,158,0,null,4893,0,null,null,342,0,5238.17,6052.71,3200,0,0,1,1,null,null,2024-07-04,2024-07-05,0.037,1.915,0.65,null,null,E02b,12,2,11.0,(11)_8,Drought,Drought6,6394.286680,0.0,0.0,43.984825,814.535492292,
13,2298,(11)_9,73,158,0,null,4904,0,null,null,342,0,5323.57,6151.39,3200,0,0,1,1,null,null,2024-07-04,2024-07-05,0.185,2.145,0.355,null,null,E04a,11,4,11.0,(11)_9,Drought,Drought6,6493.521236,0.0,0.0,57.727832,827.8156234,
13,2311,(2)_1,73,157,0,null,4923,0,null,null,327,0,5442.11,6288.36,3200,0,0,1,1,null,null,2024-07-03,2024-07-04,6.598,-0.951,0.03,null,null,W01b,2,1,2.0,(2)_1,Control,Control3,6614.876999,0.0,0.0,19.867059,846.248029367,
13,2327,(2)_10,73,158,0,null,4906,0,null,null,342,0,5317.76,6144.68,3200,0,0,1,1,null,null,2024-07-03,2024-07-04,11.568,-0.835,0.007,null,null,E04c,13,4,2.0,(2)_10,Drought,Drought3,6485.977244,0.0,0.0,22.898428,826.912357427,
